ann_charge_bat_storage_MWh,ann_curt_vre_MWh,ann_discharge_bat_storage_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_gen_solarPV_MWh,ann_gen_total_MWh,ann_gen_vre_MWh,ann_gen_vre_nocurt_MWh,ann_gen_wind_MWh,capacity_bat_storage_MW,capacity_solarPV_MW,capacity_vre_MW,capacity_wind_MW,date_time,dispatch_cost,energy_bat_storage_MWh,scenario,scenario_main
0.0,0.0,0.0,128787887.3,30046800.0,0.0,2424553182.0,0.0,0.0,0.0,0,0,0,0,1/18/18 13:08,,0,S0W0_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,0.0,2424553182.0,477166824.6,477166828.0,477166824.6,0,0,200005,200005,1/18/18 13:11,,0,S0W200_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,87844246.67,2424553182.0,454821767.9,454821772.0,366977521.2,0,50015,200025,150010,1/18/18 13:14,,0,S50W150_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,175038224.0,2424553182.0,427217841.4,427217839.0,252179617.3,0,100079,200102,100023,1/18/18 13:16,,0,S100W100_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,261665558.2,2424553182.0,392945560.4,392945562.0,131280002.5,0,150010,200039,50029,1/18/18 13:19,,0,S150W50_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,348007549.4,2424553182.0,348007549.4,348007539.0,0.0,0,200004,200004,0,1/18/18 13:22,,0,S200W0_coallc,base
0.0,587442.0,0.0,128787887.3,30046800.0,0.0,2424553182.0,686890167.5,687477610.0,686890167.5,0,0,300007,300007,1/18/18 13:25,,0,S0W300_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,131453684.9,2424553182.0,662279334.1,662279339.0,530825649.3,0,75025,300060,225035,1/18/18 13:28,,0,S75W225_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,261665558.2,2424553182.0,628643079.3,628643078.0,366977521.2,0,150010,300020,150010,1/18/18 13:31,,0,S150W150_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,391018640.4,2424553182.0,583353679.4,583353677.0,192335039.1,0,225017,300020,75003,1/18/18 13:34,,0,S225W75_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,519352656.1,2424553182.0,519352656.1,519352657.0,0.0,0,300014,300014,0,1/18/18 13:37,,0,S300W0_coallc,base
0.0,32218431.0,0.0,128787887.3,30046800.0,0.0,2424553182.0,856376409.0,888594843.0,856376409.0,0,0,400031,400031,1/18/18 13:40,,0,S0W400_coallc,base
0.0,4792192.0,0.0,128787887.3,30046800.0,172867064.6,2424553182.0,857723637.3,862515820.0,684856572.7,0,100079,400086,300007,1/18/18 13:43,,0,S100W300_coallc,base
0.0,1075230.0,0.0,128787887.3,30046800.0,347699192.6,2424553182.0,824099141.0,825174368.0,476399948.4,0,200004,400009,200005,1/18/18 13:47,,0,S200W200_coallc,base
0.0,222214.0,0.0,128787887.3,30046800.0,519336734.9,2424553182.0,771310059.0,771532271.0,251973323.9,0,300014,400037,100023,1/18/18 13:51,,0,S300W100_coallc,base
0.0,8648495.0,0.0,128787887.3,30046800.0,680623065.0,2424553182.0,680623065.0,689271552.0,0.0,0,400003,400003,0,1/18/18 13:54,,0,S400W0_coallc,base
0.0,0.0,0.0,128787887.3,30046800.0,0.0,2424553182.0,0.0,0.0,0.0,15000,0,0,0,1/19/18 11:34,,60000,S0W0_coallcB15,battery15
-1027737.2,0.0,873576.56,128787887.3,30046800.0,0.0,2424707343.0,477166824.6,477166828.0,477166824.6,15000,0,200005,200005,1/19/18 11:38,,60000,S0W200_coallcB15,battery15
-828501.4,0.0,704226.17,128787887.3,30046800.0,87844246.67,2424677457.0,454821767.9,454821772.0,366977521.2,15000,50015,200025,150010,1/19/18 11:42,,60000,S50W150_coallcB15,battery15
-11766420.6,0.0,10001457.19,128787887.3,30046800.0,175038224.0,2426318145.0,427217841.4,427217839.0,252179617.3,15000,100079,200102,100023,1/19/18 11:46,,60000,S100W100_coallcB15,battery15
-25477729.69,0.0,21656068.92,128787887.3,30046800.0,261665558.2,2428374843.0,392945560.4,392945562.0,131280002.5,15000,150010,200039,50029,1/19/18 11:50,,60000,S150W50_coallcB15,battery15
-25764707.6,0.0,21900000.0,128787887.3,30046800.0,348007549.4,2428417890.0,348007549.4,348007539.0,0.0,15000,200004,200004,0,1/19/18 11:55,,60000,S200W0_coallcB15,battery15
-4785579.58,400307.0,4067742.52,128787887.3,30046800.0,0.0,2425271019.0,687077301.4,687477610.0,687077301.4,15000,0,300007,300007,1/19/18 11:58,,60000,S0W300_coallcB15,battery15
-6060626.22,0.0,5151532.15,128787887.3,30046800.0,131453684.9,2425462276.0,662279334.1,662279339.0,530825649.3,15000,75025,300060,225035,1/19/18 12:01,,60000,S75W225_coallcB15,battery15
-25294346.53,0.0,21500193.29,128787887.3,30046800.0,261665558.2,2428347335.0,628643079.3,628643078.0,366977521.2,15000,150010,300020,150010,1/19/18 12:04,,60000,S150W150_coallcB15,battery15
-25764707.6,0.0,21900000.0,128787887.3,30046800.0,391018640.4,2428417890.0,583353679.4,583353677.0,192335039.1,15000,225017,300020,75003,1/19/18 12:09,,60000,S225W75_coallcB15,battery15
-25764707.6,0.0,21900000.0,128787887.3,30046800.0,519352656.1,2428417890.0,519352656.1,519352657.0,0.0,15000,300014,300014,0,1/19/18 12:15,,60000,S300W0_coallcB15,battery15
-8814011.41,31173599.0,7491909.43,128787887.3,30046800.0,0.0,2425875284.0,857421240.4,888594843.0,857421240.4,15000,0,400031,400031,1/19/18 12:20,,60000,S0W400_coallcB15,battery15
